Index,ClosingPrice,Prediction,Outcome,ConsecutiveLosses
1321,1.172292,Neutral,Neutral,
1322,1.16877,Negative,Loss,1
1323,1.174026,Negative,Win,0
1324,1.172305,Neutral,Neutral,
1325,1.16968,Neutral,Neutral,
1326,1.168634,Negative,Win,0
1327,1.16016,Negative,Win,0
1328,1.157448,Negative,Loss,1
1329,1.160726,Negative,Loss,2
1330,1.161845,Negative,Win,0
1331,1.159608,Neutral,Neutral,
1332,1.155535,Neutral,Neutral,
1333,1.155976,Neutral,Neutral,
1334,1.156604,Neutral,Neutral,
1335,1.155375,Neutral,Neutral,
1336,1.153403,Neutral,Neutral,
1337,1.159958,Neutral,Neutral,
1338,1.159152,Neutral,Neutral,
1339,1.159703,Neutral,Neutral,
1340,1.161386,Neutral,Neutral,
1341,1.163196,Positive,Win,0
1342,1.165501,Positive,Loss,1
1343,1.162534,Positive,Win,0
1344,1.164009,Neutral,Neutral,
1345,1.16117,Positive,Loss,1
1346,1.159824,Neutral,Neutral,
1347,1.160012,Negative,Loss,2
1348,1.168361,Neutral,Neutral,
1349,1.155668,Neutral,Neutral,
1350,1.159958,Neutral,Neutral,
1351,1.157943,Neutral,Neutral,
1352,1.161575,Neutral,Neutral,
1353,1.155535,Neutral,Neutral,
1354,1.156885,Neutral,Neutral,
1355,1.159152,Neutral,Neutral,
1356,1.159555,Neutral,Neutral,
1357,1.148594,Positive,Loss,3
1358,1.145082,Neutral,Neutral,
1359,1.144165,Neutral,Neutral,
1360,1.136648,Negative,Win,0
1361,1.132118,Negative,Loss,1
1362,1.132118,Negative,Loss,2
1363,1.136842,Negative,Win,0
1364,1.127574,Neutral,Neutral,
1365,1.124215,Negative,Loss,1
1366,1.124493,Negative,Win,0
1367,1.120298,Neutral,Neutral,
1368,1.120963,Negative,Loss,1
1369,1.129318,Neutral,Neutral,
1370,1.129344,Positive,Win,0
1371,1.133029,Positive,Loss,1
1372,1.131952,Positive,Loss,2
1373,1.130621,Positive,Loss,3
1374,1.13048,Neutral,Neutral,
1375,1.128668,Negative,Win,0
1376,1.12765,Negative,Loss,1
1377,1.134559,Negative,Win,0
1378,1.129331,Neutral,Neutral,
1379,1.131183,Neutral,Neutral,
1380,1.128541,Neutral,Neutral,
1381,1.126126,Neutral,Neutral,
1382,1.129076,Negative,Loss,1
1383,1.133414,Neutral,Neutral,
1384,1.124354,Neutral,Neutral,
1385,1.127752,Neutral,Neutral,
1386,1.128757,Neutral,Neutral,
1387,1.132888,Neutral,Neutral,
1388,1.132734,Positive,Loss,2
1389,1.132426,Positive,Win,0
1390,1.133003,Neutral,Neutral,
1391,1.131478,Neutral,Neutral,
1392,1.136015,Negative,Win,0
1393,1.132503,Neutral,Neutral,
1394,1.137346,Neutral,Neutral,
