100,100
100.9,100.9
99.9,101.8
101.7,102.7
102.6,101.7
101.6,102.6
100.6,103.5
101.5,102.5
100.5,103.4
99.5,104.3
101.3,103.3
100.3,102.3
99.3,104.1
97.3,103.1
93.3,104
100.5,105.8
99.5,104.8
101.3,103.8
102.2,105.6
101.2,107.4
102.1,106.4
103,108.2
102,109.1
102.9,110
103.8,111.8
104.7,110.8
105.6,109.8
106.5,110.7
107.4,112.5
108.3,113.4
107.3,112.4
106.3,113.3
107.2,112.3
108.1,114.1
107.1,113.1
106.1,112.1
107,111.1
106,112
105,112.9
105.9,111.9
106.8,110.9
107.7,109.9
108.6,107.9
107.6,108.8
108.5,107.8
107.5,106.8
106.5,107.7
107.4,108.6
106.4,110.4
107.3,111.3
108.2,114.9
109.1,115.8
110,117.6
109,116.6
108,117.5
108.9,118.4
109.8,119.3
110.7,118.3
111.6,119.2
112.5,118.2
111.5,119.1
112.4,120
111.4,119
110.4,119.9
109.4,118.9
110.3,117.9
109.3,116.9
110.2,115.9
109.2,116.8
108.2,117.7
109.1,118.6
108.1,119.5
107.1,118.5
108,116.5
108.9,117.4
107.9,118.3
106.9,117.3
107.8,116.3
106.8,115.3
105.8,114.3
106.7,115.2
105.7,118.8
104.7,117.8
103.7,118.7
102.7,119.6
101.7,118.6
102.6,119.5
103.5,120.4
104.4,119.4
103.4,118.4
102.4,119.3
101.4,118.3
102.3,117.3
103.2,116.3
102.2,115.3
103.1,114.3
102.1,115.2
103,116.1
102,117
101,116
101.9,116.9
100.9,115.9
99.9000000000003,116.8
101.7,115.8
100.7,114.8
99.7000000000003,113.8
97.7000000000003,114.7
93.7000000000003,115.6
85.7000000000003,116.5
69.7000000000003,114.5
98.5000000000003,115.4
34.5000000000003,116.3
-93.4999999999997,117.2
,118.1
,119
,119.9
,120.8
,116.8
,117.7
,116.7
,117.6
,118.5
,117.5
,118.4
,119.3
,111.3
