age: 51, balance: 210.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 52, balance: 209.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 53, balance: 207.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 54, balance: 208.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 55, balance: 206.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 56, balance: 210.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 57, balance: 211.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 58, balance: 207.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 59, balance: 208.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 60, balance: 209.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 61, balance: 217.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 62, balance: 218.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 63, balance: 219.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 64, balance: 220.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 65, balance: 221.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 66, balance: 220.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 67, balance: 221.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 68, balance: 222.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 69, balance: 223.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 70, balance: 222.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 71, balance: 223.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 72, balance: 224.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 73, balance: 225.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 74, balance: 226.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 75, balance: 225.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 76, balance: 226.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 77, balance: 227.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 78, balance: 225.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 79, balance: 224.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 80, balance: 223.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 81, balance: 227.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 82, balance: 228.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 83, balance: 229.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 84, balance: 228.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 85, balance: 229.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 86, balance: 228.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 87, balance: 226.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 88, balance: 227.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 89, balance: 225.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 90, balance: 221.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 91, balance: 222.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 92, balance: 226.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 93, balance: 218.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 94, balance: 219.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 95, balance: 220.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 96, balance: 204.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 97, balance: 205.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 98, balance: 206.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 99, balance: 174.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 100, balance: 173.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 101, balance: 172.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 102, balance: 108.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 103, balance: 109.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 104, balance: 107.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 106, balance: 235.0, currentnode: 0, lastnode: 0, lastoutcome: True
age: 107, balance: 234.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 108, balance: 238.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 109, balance: 237.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 110, balance: 238.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 111, balance: 239.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 112, balance: 237.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 113, balance: 238.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 114, balance: 237.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 115, balance: 241.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 116, balance: 240.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 117, balance: 241.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 118, balance: 240.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 119, balance: 241.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 120, balance: 242.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 121, balance: 243.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 122, balance: 242.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 123, balance: 243.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 124, balance: 242.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 125, balance: 240.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 126, balance: 241.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 127, balance: 242.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 128, balance: 238.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 129, balance: 237.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 130, balance: 238.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 131, balance: 230.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 132, balance: 231.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 133, balance: 230.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 134, balance: 246.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 135, balance: 247.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 136, balance: 248.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 137, balance: 247.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 138, balance: 248.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 139, balance: 249.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 140, balance: 247.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 141, balance: 246.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 142, balance: 245.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 143, balance: 241.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 144, balance: 242.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 145, balance: 243.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 146, balance: 235.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 147, balance: 236.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 148, balance: 235.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 149, balance: 251.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 150, balance: 252.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 151, balance: 253.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 152, balance: 252.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 153, balance: 251.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 154, balance: 250.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 155, balance: 251.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 156, balance: 252.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 157, balance: 253.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 158, balance: 254.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 159, balance: 255.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 160, balance: 254.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 161, balance: 255.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 162, balance: 256.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 163, balance: 257.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 164, balance: 258.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 165, balance: 257.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 166, balance: 256.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 167, balance: 257.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 168, balance: 258.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 169, balance: 256.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 170, balance: 255.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 171, balance: 256.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 172, balance: 252.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 173, balance: 250.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 174, balance: 251.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 175, balance: 259.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 176, balance: 255.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 177, balance: 256.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 178, balance: 257.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 179, balance: 249.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 180, balance: 250.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 181, balance: 251.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 182, balance: 235.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 183, balance: 234.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 184, balance: 235.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 185, balance: 267.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 186, balance: 268.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 187, balance: 269.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 188, balance: 270.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 189, balance: 271.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 190, balance: 272.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 191, balance: 271.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 192, balance: 270.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 193, balance: 271.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 194, balance: 269.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 195, balance: 270.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 196, balance: 269.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 197, balance: 265.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 198, balance: 264.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 199, balance: 262.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 200, balance: 270.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 201, balance: 271.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 202, balance: 267.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 203, balance: 268.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 204, balance: 269.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 205, balance: 277.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 206, balance: 278.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 207, balance: 279.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 208, balance: 280.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 209, balance: 279.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 210, balance: 280.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 211, balance: 281.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 212, balance: 282.0, currentnode: 1, lastnode: 0, lastoutcome: True
